distrito,estado,categoria,titulo,barrio,coordenadas_originales,lat,lon,votos,fecha,cargado_por
1,factible,Espacio cultural deportivo,PUESTA EN VALOR DEL CENTRO VECINAL- Barrio America,BARRIO AMERICA,"-26.797050, -65.207859",-26.79705,-65.207859,1,2025-10-22,PParticipativo
1,factible,Espacio socio ambiental,Puesta en Valor el corredor verde del Barrio Oeste II,Barrio Oeste II,"-26.800204, -65.253307",-26.800204,-65.253307,1,2025-09-23,PParticipativo
1,integrado,Espacio de innovación urbana,"CENTRO VECINAL ""CAPITAN DE LOS ANDES""- BARRIO SAN MARTIN",BARRIO GENERAL SAN MARTIN,"-26.833661, -65.267635",-26.833661,-65.267635,,2025-10-22,PParticipativo
1,ganador,Espacio de innovación urbana,PUESTA EN VALOR DE LA GRUTA DE LA VIRGEN DEL ROSARIO DE SAN NICOLAS *,OESTE II,"-26.798656, -65.252994",-26.798656,-65.252994,35,2025-11-03,PParticipativo
1,no-factible,Espacio cultural deportivo,PLAYON DEPORTIVO BARRIO 11 DE ENERO,11 DE ENERO,"-26.793712, -65.257460",-26.793712,-65.25746,,2025-10-31,PParticipativo
1,integrado,Espacio de innovación urbana,REVALORIZACION Y EXPANSION COMUNITARIA PLAZA TERCER CENTENARIO,VILLA ALEM,,,,,2025-10-13,PParticipativo
1,factible,Espacio socio ambiental,PUESTA EN VALOR DE LA PLAZOLETA BARRIO OESTE l,OESTE I,"-26.804458, -65.252195",-26.804458,-65.252195,1,2025-10-06,PParticipativo
1,no-factible,Espacio cultural deportivo,Club de Adultos Mayores,sin identificar,sin identificar,,,,2025-10-08,PParticipativo
1,factible,Espacio socio ambiental,PUESTA EN VALOR CORREDOR VERDE BARRIO OESTE II *,OESTE II,,,,1,2025-10-31,PParticipativo
1,no-factible,Espacio de innovación urbana,Revive tu plaza: espacio para todos- Barrio San Nicolas Distrito 1,SAN NICOLAS,"-26.862463, -65.221171",-26.862463,-65.221171,,2025-10-31,PParticipativo
